STF_ID,uM,%Pos  W2/Med,%Inh Cells/High,CanonicalSmiles,Selectivity,target
STF-001017,5.56,87.6,-2.3,CN(C)C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,0.015267175572519083,0
STF-001017,11.11,97.8,-7.6,CN(C)C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,0.015267175572519083,0
STF-001017,22.22,94.2,-6.4,CN(C)C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,0.015267175572519083,0
STF-001097,1.39,92.4,-26.1,C1CC(CC1C(=O)O)(C(=O)O)N,0.19170984455958548,0
STF-001097,2.78,115.1,-8.4,C1CC(CC1C(=O)O)(C(=O)O)N,0.19170984455958548,0
STF-001097,5.56,93.7,-10.6,C1CC(CC1C(=O)O)(C(=O)O)N,0.19170984455958548,0
STF-001097,11.11,107.8,6.7,C1CC(CC1C(=O)O)(C(=O)O)N,0.19170984455958548,0
STF-001097,22.22,111.0,-1.9,C1CC(CC1C(=O)O)(C(=O)O)N,0.19170984455958548,0
STF-001018,1.39,82.0,-10.6,C(CC(C(=O)O)N)CP(=O)(O)O,0.10897435897435898,0
STF-001018,2.78,84.0,-12.3,C(CC(C(=O)O)N)CP(=O)(O)O,0.10897435897435898,0
STF-001018,5.56,97.0,-11.5,C(CC(C(=O)O)N)CP(=O)(O)O,0.10897435897435898,0
STF-001018,11.11,120.5,-7.6,C(CC(C(=O)O)N)CP(=O)(O)O,0.10897435897435898,0
STF-001018,22.22,103.3,4.1,C(CC(C(=O)O)N)CP(=O)(O)O,0.10897435897435898,0
STF-001098,1.39,93.5,-15.8,CP(=O)(CCCN)O,0.12878787878787878,0
STF-001098,2.78,78.8,-6.3,CP(=O)(CCCN)O,0.12878787878787878,0
STF-001098,5.56,89.6,-4.1,CP(=O)(CCCN)O,0.12878787878787878,0
STF-001098,11.11,91.7,-3.1,CP(=O)(CCCN)O,0.12878787878787878,0
STF-001098,22.22,110.6,10.2,CP(=O)(CCCN)O,0.12878787878787878,0
STF-001100,1.39,101.9,-5.1,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,0.03918722786647315,0
STF-001100,2.78,104.7,1.8,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,0.03918722786647315,0
STF-001100,5.56,92.5,-10.6,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,0.03918722786647315,0
STF-001100,11.11,108.0,1.3,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,0.03918722786647315,0
STF-001100,22.22,109.5,2.6,CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,0.03918722786647315,0
STF-001173,1.39,133.5,-12.1,C1=CC(=O)C=CC1=C2NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,0.1237842617152962,1
STF-001173,2.78,101.1,-17.1,C1=CC(=O)C=CC1=C2NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,0.1237842617152962,0
STF-001173,5.56,88.5,-10.6,C1=CC(=O)C=CC1=C2NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,0.1237842617152962,0
STF-001173,11.11,113.0,-9.4,C1=CC(=O)C=CC1=C2NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,0.1237842617152962,0
STF-001173,22.22,81.8,13.2,C1=CC(=O)C=CC1=C2NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,0.1237842617152962,0
STF-001252,1.39,122.2,-2.2,C1=CC2=C(C=C1Cl)NC(=O)O2,0.012145748987854251,0
STF-001252,2.78,101.9,-5.4,C1=CC2=C(C=C1Cl)NC(=O)O2,0.012145748987854251,0
STF-001252,5.56,103.0,-6.0,C1=CC2=C(C=C1Cl)NC(=O)O2,0.012145748987854251,0
STF-001252,11.11,98.0,-4.0,C1=CC2=C(C=C1Cl)NC(=O)O2,0.012145748987854251,0
STF-001252,22.22,99.8,18.4,C1=CC2=C(C=C1Cl)NC(=O)O2,0.012145748987854251,0
STF-001253,1.39,111.5,-11.7,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,0.005836575875486381,0
STF-001253,2.78,123.5,-5.7,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,0.005836575875486381,0
STF-001253,5.56,94.2,-0.5,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,0.005836575875486381,0
STF-001253,11.11,98.6,-19.3,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,0.005836575875486381,0
STF-001253,22.22,109.2,-5.6,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,0.005836575875486381,0
STF-001175,1.39,86.7,-7.0,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,0.22916666666666666,0
STF-001175,2.78,117.0,-18.6,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,0.22916666666666666,0
STF-001175,5.56,120.9,-25.3,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,0.22916666666666666,0
STF-001175,11.11,126.9,0.4,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,0.22916666666666666,0
STF-001175,22.22,115.7,5.6,C1C(C(OC1N2C=C(C(=O)NC2=O)C=CBr)CO)O,0.22916666666666666,0
